module,rel_fro,max_absdiff,maxW_a,maxW_b,zero_frac_a,zero_frac_b,zero_rows_a,zero_rows_b,zero_cols_a,zero_cols_b,nonfinite_b
model.layers.8.mlp.down_proj.weight,0.3345322012901306,0.028076171875,0.14453125,0.14453125,0.32698264718055725,0.32747748494148254,0,0,0,0,0
model.layers.8.mlp.gate_proj.weight,0.29441770911216736,0.020751953125,0.08056640625,0.08056640625,0.319523423910141,0.31967559456825256,0,0,0,0,0
model.layers.8.mlp.up_proj.weight,0.29567667841911316,0.017578125,0.057861328125,0.07177734375,0.32091426849365234,0.32110366225242615,0,0,0,0,0
model.layers.8.self_attn.k_proj.weight,0.3116986155509949,0.017333984375,0.0751953125,0.0751953125,0.3184351921081543,0.3182711601257324,0,0,0,0,0
model.layers.8.self_attn.o_proj.weight,0.3445216715335846,0.01416015625,0.046630859375,0.04248046875,0.3371284008026123,0.33851486444473267,0,0,0,0,0
model.layers.8.self_attn.q_proj.weight,0.3024623394012451,0.01312255859375,0.052490234375,0.052490234375,0.31709086894989014,0.3171907067298889,0,0,0,0,0
model.layers.8.self_attn.v_proj.weight,0.2845316231250763,0.00567626953125,0.022705078125,0.0224609375,0.3234529495239258,0.3235659599304199,0,0,0,0,0
model.layers.9.mlp.down_proj.weight,0.3309912383556366,0.050537109375,0.1513671875,0.1513671875,0.32659193873405457,0.32709529995918274,0,0,0,0,0
model.layers.9.mlp.gate_proj.weight,0.29429295659065247,0.0230712890625,0.08642578125,0.08642578125,0.31973177194595337,0.31995949149131775,0,0,0,0,0
model.layers.9.mlp.up_proj.weight,0.29466795921325684,0.021484375,0.0859375,0.08642578125,0.32063791155815125,0.32101884484291077,0,0,0,0,0
model.layers.9.self_attn.k_proj.weight,0.3148360550403595,0.0302734375,0.06689453125,0.06689453125,0.31928563117980957,0.319108247756958,0,0,0,0,0
model.layers.9.self_attn.o_proj.weight,0.33968397974967957,0.014892578125,0.05908203125,0.05908203125,0.3368903398513794,0.33735108375549316,0,0,0,0,0
model.layers.9.self_attn.q_proj.weight,0.3071610927581787,0.02392578125,0.09130859375,0.0673828125,0.3188728094100952,0.31910228729248047,0,0,0,0,0
model.layers.9.self_attn.v_proj.weight,0.2825736999511719,0.0042724609375,0.01422119140625,0.0159912109375,0.32337141036987305,0.32358336448669434,0,0,0,0,0
