layer,head,score
11,19,0.00040328921750187874
11,20,0.00033487100154161453
11,21,7.010996341705322e-05
11,22,0.0008626477792859077
11,23,4.8177316784858704e-05
11,24,0.0009393524378538132
11,25,0.000172516331076622
11,26,0.0012546572834253311
11,27,0.001233092974871397
12,0,0.0005585243925452232
12,1,0.0006244922988116741
12,2,0.0003873971290886402
12,3,0.0010809400118887424
12,4,0.0005056941881775856
12,5,0.0013926276005804539
12,6,0.0005445766728371382
12,7,0.0003911072853952646
12,8,0.00017317431047558784
12,9,0.0007774084806442261
12,10,0.0006399732083082199
12,11,0.0008088061586022377
12,12,0.0003386284224689007
12,13,0.0009566009975969791
12,14,0.0009026117622852325
12,15,1.7123296856880188e-05
12,16,5.534570664167404e-05
12,17,5.787704139947891e-06
12,18,0.000219772569835186
12,19,1.4658551663160324e-05
12,20,0.0010478247422724962
12,21,0.00037219608202576637
12,22,0.0008094720542430878
12,23,0.00022148247808218002
12,24,0.0013882378116250038
12,25,0.0002721259370446205
12,26,0.000325959175825119
12,27,0.0006405834574252367
13,0,0.0004415186122059822
13,1,0.0013108085840940475
13,2,0.00046973396092653275
13,3,0.0012919572181999683
13,4,0.002272762358188629
13,5,0.000640256330370903
13,6,0.0001824437640607357
13,7,0.0001372634433209896
13,8,0.00030908919870853424
13,9,0.0007617557421326637
13,10,0.0004974235780537128
13,11,0.00033621955662965775
13,12,1.229904592037201e-05
13,13,0.00022296234965324402
13,14,0.00021666893735527992
13,15,0.0008819843642413616
13,16,0.001961822621524334
13,17,0.0003884900361299515
13,18,0.0009735375642776489
13,19,0.0015889201313257217
13,20,0.0025496650487184525
13,21,0.0004620221443474293
13,22,0.00040708715096116066
13,23,0.001208634115755558
13,24,9.598443284630775e-06
13,25,0.0013354076072573662
13,26,3.9460137486457825e-06
13,27,0.0005780914798378944
14,0,8.11794598121196e-05
14,1,0.00020030851010233164
14,2,0.00012665358372032642
14,3,0.0003209812566637993
14,4,9.66010702541098e-08
14,5,1.157152382802451e-06
14,6,1.4494289644062519e-05
14,7,1.362684997729957e-06
14,8,0.00040177442133426666
14,9,4.853913560509682e-05
14,10,0.0008168322965502739
14,11,0.0018372535705566406
14,12,0.0002627372741699219
14,13,0.00023808889091014862
14,14,9.185448288917542e-05
14,15,0.00031528808176517487
14,16,0.0003568921238183975
14,17,0.0006893421523272991
14,18,5.720817716792226e-05
14,19,8.788611739873886e-05
14,20,0.000789182260632515
14,21,0.0013835513964295387
14,22,0.0010148081928491592
14,23,0.001465382520109415
14,24,0.0005963011644780636
14,25,0.00028860196471214294
14,26,0.00016682688146829605
14,27,0.0002184901386499405
15,0,0.0011301429476588964
15,1,0.0007968175923451781
15,2,0.0013274941593408585
15,3,0.0018852148205041885
15,4,0.0008746733656153083
15,5,0.0012877890840172768
15,6,0.0011395751498639584
15,7,0.0006336094811558723
15,8,0.0010932395234704018
15,9,0.0004153088666498661
15,10,0.0007789419032633305
15,11,0.0019622016698122025
15,12,0.0008041448891162872
15,13,0.000608016736805439
15,14,0.0003899666480720043
15,15,0.0004665604792535305
15,16,0.00039008562453091145
15,17,0.0006326476577669382
15,18,5.097017856314778e-05
15,19,0.0004229956539347768
15,20,0.000319809652864933
15,21,0.0012510893866419792
15,22,0.00013755913823843002
15,23,0.0011061308905482292
15,24,0.0005086867604404688
15,25,0.0005498342216014862
15,26,0.00028889719396829605
15,27,6.2515027821064e-05
16,0,0.0005971970967948437
16,1,0.00024052336812019348
16,2,0.000710388645529747
16,3,0.00028614350594580173
16,4,0.0005360986106097698
16,5,0.00011350400745868683
16,6,0.001094752922654152
16,7,0.00047679198905825615
16,8,0.00011674314737319946
